OrganizationName;FriendlyName;Thumbprint;SHA-256 Thumbprint;Status;Last Modified on Release Date;
A-Trust;A-Trust-Qual-02;CD787A3D5CBA8207082848365E9ACDE9683364D8;F28630BABF256E567B5821069FCF13148AB9A23E28FC0D70615AAE6ED284F4C8;Active;;
A-Trust;A-Trust-Qual-03a;42EFDDE6BFF35ED0BAE6ACDD204C50AE86C4F4FA;6BAF50AE3467EFF3C35FEFDC76A02A97FAB6267723EDA91E99F1B3DC2B28F82E;Active;;
A-Trust;A-Trust-Root-05;2E66C9841181C08FB1DFABD4FF8D5CC72BE08F02;2DDE9D0C0A90E7B32B5ABC01F41799D42E95A1E3C31C3B39373BB8141EA54471;Active;;
Austrian Society for Data Protection (Arge Daten) (GlobalTrust);GLOBALTRUST 2015;465B26BEBE7106DD8544C1139D9FA25700C1D7BD;416B1F9E84E74C1D19B23D8D7191C6AD81246E641601F599132729F507BEB3CC;Active;29.05.2018;
Austrian Society for Data Protection (Arge Daten) (GlobalTrust);Austrian Society for Data Protection GLOBALTRUST Certification Service;342CD9D3062DA48C346965297F081EBC2EF68FDC;5E3571F33F45A7DF1537A68B5FFB9E036AF9D2F5BC4C9717130DC43D7175AAC7;Active;;
Autoridad de Certificación (ANF AC);ANF AC;CEA9890D85D80753A626286CDAD78CB566D70CF2;B644D955FFF29B74E3B5687E908EE7C3C9197BA3336CC6328531F6C057D677FD;Active;;
Autoridad de Certificación (ANF AC);ANF Global Root CA;5BB59920D11B391479463ADD5100DB1D52F43AD4;E0E17AEA06CF9CE12AAE8190345A2C59720130A7D8FF72F3745AD75DBAA365B6;Active;;
Autoridad de Certificacion Firmaprofesional;CAROOT Firmaprofesional;AEC5FB3FC8E1BFC4E54F03075A9AE800B7F7B6FA;04048028BF1F2864D48F9AD4D83294366A828856553F3B14303F90147F5D40EF;Active;;
Buypass;Buypass Class 2 Root CA;490A7574DE870A47FE58EEF6C76BEBC60B124099;9A114025197C5BB95D94E63D55CD43790847B646B23CDF11ADA4A00EFF15FB48;Active;;
Buypass;Buypass Class 3 Root CA;DAFAF7FA6684EC068F1450BDC7C281A5BCA96457;EDF7EBBCA27A2A384D387B7D4010C666E2EDB4843E4C29B4AE1D5B9332E6B24D;Active;;
Byte Computer S.A.;BYTE Root Certification Authority 001;3F0FEB17A7EF5804CFD90A77B7BB021EA69C6418;39AE2E6F304A6236BDF9066718DDC69E51AF5ED05A63F2EE8D80CA1D1CC8FE4F;Active;;
CA Disig a.s.;CA Disig Root R1;8E1C74F8A620B9E58AF461FAEC2B4756511A52C6;F96F23F4C3E79C077A46988D5AF5900676A0F039CB645DD17549B216C82440CE;NotBefore;29.03.2018;
CA Disig a.s.;CA Disig;2AC8D58B57CEBF2F49AFF2FC768F511462907A41;92BF5119ABECCAD0B1332DC4E1D05FBA75B5679044EE0CA26E931F744F2F33CF;Disable;24.04.2018;
CA Disig a.s.;CA Disig Root R2;B561EBEAA4DEE4254B691A98A55747C234C7D971;E23D4A036D7B70E9F595B1422079D2B91EDFBB1FB651A0633EAA8A9DC5F80703;Active;;
Carillon Information Security Inc.;Carillon Information Security Inc.;A69E0336C4E59023FF653C71F928EB73F21C00F0;12FF248372BD87E44ECE432198BE9B04525F33DEE00356FD646F8ACC01412F86;Active;;
CertEurope France;CertEurope;FA0882595F9CA6A11ECCBEAF65C764C0CCC311D0;42143A511A3AFCDD80D555DEBB4191EC6BB285EE66E62EC657ED20ADF7D55FAA;NotBefore;07.03.2017;
Certicámara S.A.;AC Raíz Certicámara S.A.;CBA1C5F8B0E35EB8B94512D3F934A2E90610D336;A6C51E0DA5CA0A9309D2E4C0E40C2AF9107AAE8203857FE198E3E769E343085C;Active;;
Certicámara S.A.;AC Raíz Certicámara S.A.;5463283B6793FF55277CEDE39098E80422F912F7;D2A90E5D35CAC4D41F7D44CE66AFF885E1815FB339185853A87E66C05C9BEF1E;Active;;
Certinomis / Docapost;Certinomis;2E14DAEC28F0FA1E8E389A4EABEB26C00AD383C3;FCBFE2886206F72B27593C8B070297E12D769ED10ED7930705A8098EFFC14D17;NotBefore;31.07.2018;
Certinomis / Docapost;Certinomis - Root CA;9D70BB01A5A4A018112EF71C01B932C534E788A8;2A99F5BC1174B73CBB1D620884E01C34E51CCB3978DA125F0E33268883BF4158;Active;;
Certipost s.a./n.v.;Certipost E-Trust Primary Normalised CA;A59C9B10EC7357515ABB660C4D94F73B9E6E9272;F00355EEF101C7DF4E46CCE6417DFFCE3DB82DBB1369C3B439C4E33BEE445C42;NotBefore;07.03.2017;
Certipost s.a./n.v.;Certipost E-Trust Primary Qualified CA;742CDF1594049CBF17A2046CC639BB3888E02E33;058A40323EC8C46262C3052A5D357B91AC24D3DA26351B3FF4407E99F7A4E9B4;NotBefore;07.03.2017;
